date,meantemp,humidity,wind_speed,meanpressure
1/1/2013,10.0000000,84.5000000,0.0000000,1015.6666667
1/2/2013,7.4000000,92.0000000,2.9800000,1017.8000000
1/3/2013,7.1666667,87.0000000,4.6333333,1018.6666667
1/4/2013,8.6666667,71.3333333,1.2333333,1017.1666667
1/5/2013,6.0000000,86.8333333,3.7000000,1016.5000000
1/6/2013,7.0000000,82.8000000,1.4800000,1018.0000000
1/7/2013,7.0000000,78.6000000,6.3000000,1020.0000000
1/8/2013,8.8571429,63.7142857,7.1428571,1018.7142857
1/9/2013,14.0000000,51.2500000,12.5000000,1017.0000000
1/10/2013,11.0000000,62.0000000,7.4000000,1015.6666667
1/11/2013,15.7142857,51.2857143,10.5714286,1016.1428571
1/12/2013,14.0000000,74.0000000,13.2285714,1015.5714286
1/13/2013,15.8333333,75.1666667,4.6333333,1013.3333333
1/14/2013,12.8333333,88.1666667,0.6166667,1015.1666667
1/15/2013,14.7142857,71.8571429,0.5285714,1015.8571429
1/16/2013,13.8333333,86.6666667,0.0000000,1016.6666667
1/17/2013,16.5000000,80.8333333,5.2500000,1015.8333333
1/18/2013,13.8333333,92.1666667,8.9500000,1014.5000000
1/19/2013,12.5000000,76.6666667,5.8833333,1021.6666667
1/20/2013,11.2857143,75.2857143,8.4714286,1020.2857143
1/21/2013,11.2000000,77.0000000,2.2200000,1021.0000000
1/22/2013,9.5000000,79.6666667,3.0833333,1021.8000000
1/23/2013,14.0000000,60.1666667,4.0166667,1020.5000000
1/24/2013,13.8333333,60.6666667,6.1666667,1020.5000000
1/25/2013,12.2500000,67.0000000,5.5500000,1020.7500000
1/26/2013,12.6666667,64.1666667,6.8000000,1019.6666667
1/27/2013,12.8571429,65.5714286,5.5571429,1018.1428571
1/28/2013,14.8333333,56.0000000,3.7000000,1017.8333333
1/29/2013,14.1250000,65.5000000,3.2375000,1016.6250000
1/30/2013,14.7142857,70.4285714,1.0571429,1017.8571429
1/31/2013,16.2000000,65.6000000,2.9600000,1018.4000000
2/1/2013,16.0000000,73.0000000,2.2200000,1016.0000000
2/2/2013,16.2857143,77.5714286,1.3285714,1017.1428571
2/3/2013,18.0000000,65.5714286,1.8571429,1015.2857143
2/4/2013,17.4285714,74.2857143,11.1142857,1014.5714286
2/5/2013,16.6250000,92.3750000,9.7250000,1016.3750000
2/6/2013,16.6666667,71.3333333,8.6333333,1018.6666667
2/7/2013,15.6000000,59.4000000,10.7400000,1018.6000000
2/8/2013,14.0000000,70.4285714,9.2571429,1017.1428571
2/9/2013,15.4285714,61.2857143,9.2571429,1016.8571429
2/10/2013,15.2500000,71.5000000,3.4750000,1017.1250000
2/11/2013,15.8750000,70.5000000,5.3250000,1016.5000000
2/12/2013,15.3333333,70.3333333,7.4166667,1017.5000000
2/13/2013,16.2857143,70.1428571,6.0857143,1016.0000000
2/14/2013,17.3333333,63.8333333,4.3333333,1014.1666667
2/15/2013,19.1666667,65.3333333,10.1833333,1011.6666667
2/16/2013,14.4285714,92.7142857,8.4857143,1008.0000000
2/17/2013,13.6666667,90.0000000,0.0000000,1012.6666667
2/18/2013,15.6000000,78.4000000,12.2200000,1016.2000000
2/19/2013,15.8571429,82.0000000,5.8142857,1015.7142857
2/20/2013,17.7142857,74.7142857,5.8142857,1017.0000000
2/21/2013,20.0000000,67.2857143,6.6142857,1015.4285714
2/22/2013,20.5000000,65.6250000,10.8750000,1016.0000000
2/23/2013,17.4285714,74.8571429,9.2571429,1017.0000000
2/24/2013,16.8571429,78.8571429,7.4000000,1018.8571429
2/25/2013,16.8750000,72.8750000,4.6375000,1018.2500000
2/26/2013,17.8571429,70.0000000,17.5875000,1015.1428571
2/27/2013,20.8000000,57.2000000,6.6600000,1015.2000000
2/28/2013,19.4285714,52.8571429,12.9571429,1017.4285714
3/1/2013,17.3333333,49.3333333,24.0666667,1016.3333333
3/2/2013,19.0000000,54.0000000,15.7250000,1016.2500000
3/3/2013,19.3333333,62.8333333,8.6333333,1016.1666667
3/4/2013,17.6000000,71.0000000,5.5600000,1015.8000000
3/5/2013,20.8750000,61.8750000,4.1625000,1016.3750000
3/6/2013,20.8571429,65.2857143,6.8714286,1015.7142857
3/7/2013,23.4285714,57.1428571,8.7285714,1015.2857143
3/8/2013,24.1666667,44.8333333,7.1000000,1014.8333333
3/9/2013,25.4285714,49.7142857,5.2857143,1009.2857143
3/10/2013,23.1428571,57.5714286,4.2285714,1008.0000000
3/11/2013,24.0000000,66.3333333,0.9333333,1011.1666667
3/12/2013,23.5000000,62.5000000,4.9333333,1011.5000000
3/13/2013,21.5000000,70.5000000,5.5500000,1009.0000000
3/14/2013,22.3333333,61.1666667,12.0333333,1013.1666667
3/15/2013,24.1666667,45.8333333,7.7166667,1016.1666667
3/16/2013,20.3333333,67.6666667,3.7000000,1016.1666667
3/17/2013,22.6666667,58.6666667,8.9500000,1015.0000000
3/18/2013,23.4285714,58.1428571,17.4571429,1009.4285714
3/19/2013,22.5000000,73.6666667,10.4833333,1011.0000000
3/20/2013,29.1666667,36.3333333,6.8000000,1009.5000000
3/21/2013,23.8333333,58.5000000,10.5000000,1008.3333333
3/22/2013,25.2500000,50.2500000,9.7125000,1006.3750000
3/23/2013,27.3750000,50.1250000,9.9500000,1007.6250000
3/24/2013,27.0000000,48.7500000,10.8875000,1010.2500000
