#,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
177,Gibraltar,20092,108.0,16579.0,3405.0,18.0,596131.0,3204.0,534283.0,15852213.0,33704.0
178,Liechtenstein,19713,86.0,19403.0,224.0,2.0,513533.0,2240.0,102174.0,2661682.0,38387.0
179,Grenada,19536,237.0,19248.0,51.0,4.0,172161.0,2089.0,179808.0,1584560.0,113475.0
180,Nicaragua,18491,225.0,4225.0,14041.0,18.0,2728.0,33.0,2172044.0,871741.5,6779100.0
181,Bermuda,18154,148.0,17969.0,37.0,18.0,293095.0,2389.0,1006083.0,16243126.0,61939.0
182,South Sudan,17823,138.0,17335.0,350.0,1.0,1534.0,12.0,410280.0,35313.0,11618511.0
183,Tajikistan,17786,125.0,17264.0,397.0,18.0,1786.0,13.0,2172044.0,871741.5,9957464.0
184,Equatorial Guinea,17012,183.0,16690.0,139.0,5.0,11367.0,122.0,365697.0,244342.0,1496662.0
185,Tonga,16182,12.0,15638.0,532.0,18.0,150182.0,111.0,535009.0,4965327.0,107749.0
186,Samoa,15925,29.0,1605.0,14291.0,4.0,78743.0,143.0,187397.0,926612.0,202239.0
187,Dominica,15747,74.0,15651.0,22.0,18.0,217668.0,1023.0,228799.0,3162653.0,72344.0
188,Djibouti,15690,189.0,15427.0,74.0,18.0,15441.0,186.0,305941.0,301094.0,1016097.0
189,Marshall Islands,15275,17.0,15166.0,92.0,22.0,254342.0,283.0,2172044.0,871741.5,60057.0
190,CAR,14913,113.0,14520.0,280.0,2.0,2973.0,23.0,81294.0,16205.0,5016678.0
191,Monaco,14608,63.0,14478.0,67.0,4.0,367192.0,1584.0,78646.0,1976875.0,39783.0
192,Gambia,12508,372.0,12028.0,108.0,18.0,4889.0,145.0,155686.0,60851.0,2558482.0
193,Saint Martin,11978,63.0,1399.0,10516.0,7.0,301485.0,1586.0,112382.0,2828643.0,39730.0
194,Greenland,11971,21.0,2761.0,9189.0,4.0,210117.0,369.0,164926.0,2894810.0,56973.0
195,Yemen,11935,2157.0,9124.0,654.0,23.0,383.0,69.0,329592.0,10579.0,31154867.0
196,Vanuatu,11930,14.0,11894.0,22.0,18.0,37069.0,44.0,24976.0,77606.0,321832.0
197,Caribbean Netherlands,11235,36.0,10476.0,723.0,18.0,421623.0,1351.0,30126.0,1130559.0,26647.0
198,Sint Maarten,10863,87.0,10773.0,3.0,10.0,247077.0,1979.0,62056.0,1411454.0,43966.0
199,Eritrea,10169,103.0,10063.0,3.0,18.0,2777.0,28.0,23693.0,6470.0,3662244.0
200,Niger,9931,312.0,8890.0,729.0,1.0,381.0,12.0,254538.0,9759.0,26083660.0
201,Micronesia,9759,29.0,157.0,9573.0,1.0,83063.0,247.0,21923.0,186596.0,117489.0
202,Antigua and Barbuda,9098,146.0,8923.0,29.0,1.0,91429.0,1467.0,18901.0,189943.0,99509.0
203,Guinea-Bissau,8796,175.0,8301.0,320.0,6.0,4263.0,85.0,145231.0,70385.0,2063367.0
204,Comoros,8471,161.0,8305.0,5.0,18.0,9335.0,177.0,2172044.0,871741.5,907419.0
205,Liberia,7961,294.0,7636.0,31.0,2.0,1501.0,55.0,139824.0,26356.0,5305117.0
206,Sierra Leone,7751,126.0,225011.0,1246.0,18.0,933.0,15.0,259958.0,31296.0,8306436.0
207,Chad,7583,193.0,4874.0,2516.0,18.0,435.0,11.0,191341.0,10988.0,17413580.0
208,British Virgin Islands,7305,64.0,225011.0,1246.0,18.0,238757.0,2092.0,107339.0,3508269.0,30596.0
209,St. Vincent Grenadines,7112,115.0,6641.0,356.0,18.0,63756.0,1031.0,100856.0,904125.0,111551.0
210,Saint Kitts and Nevis,6541,46.0,6482.0,13.0,18.0,121420.0,854.0,124861.0,2317778.0,53871.0
211,Cook Islands,6389,1.0,6384.0,4.0,18.0,363610.0,57.0,19690.0,1120596.0,17571.0
212,Turks and Caicos,6380,36.0,6321.0,23.0,4.0,160539.0,906.0,550093.0,13841952.0,39741.0
213,Sao Tome and Principe,6230,77.0,6132.0,21.0,18.0,27363.0,338.0,29036.0,127530.0,227679.0
